No,Name,Pos,PosGroup,Status,Height,Weight,Birthdate,Exp,College,Team,State
68,"Abdesmad, Mehdi",DE,run,RES,78,284,28-Sep-91,0,Boston College,Titans,Tennessee 
21,"Abdullah, Ameer",RB,run,RES,69,203,13-Jun-93,2,Nebraska,Lions,Michigan
24,"Abdul-Quddus, Isa",SS,dback,RES,73,196,3-Aug-89,6,Fordham,Dolphins,Florida
78,"Aboushi, Oday",G,off,ACT,77,308,5-Jun-91,4,Virginia,Texans,Texas
49,"Acho, Sam",OLB,lineb,ACT,75,260,6-Sep-88,6,Texas,Bears,Illinois
27,"Acker, Kenneth",CB,dback,ACT,72,195,6-Feb-92,3,Southern Methodist,Chiefs,Missouri
33,"Adams, Andrew",FS,dback,ACT,71,202,28-Oct-92,0,Connecticut,Giants,New York
29,"Adams, Mike",SS,dback,ACT,71,205,24-Mar-81,13,Delaware,Colts,Indiana
76,"Adams, Mike",T,off,RES,79,323,10-Mar-90,5,Ohio State,Bears,Illinois
58,"Adams, Tyrell",LB,lineb,ACT,74,228,11-Apr-92,1,West Georgia,Raiders,Nevada
37,"Addae, Jahleel",SS,dback,ACT,70,195,24-Jan-90,4,Central Michigan,Chargers,California
97,"Addison, Mario",DE,def,ACT,75,260,6-Sep-87,6,Troy,Panthers,North Carolina
38,"Adjei-Barimah, Jude",CB,dback,RES,71,200,21-Jul-92,2,Bowling Green State,Buccaneers,Florida
35,"Aikens, Walt",FS,dback,ACT,73,218,19-Jun-91,3,Liberty,Dolphins,Florida
23,"Ajayi, Jay",RB,run,ACT,72,229,15-Jun-93,2,Boise State,Dolphins,Florida
65,"Alecxih, Chas",DT,def,RES,76,295,10-Feb-89,1,Pittsburgh,Panthers,North Carolina
57,"Alexander, D.J.",ILB,lineb,ACT,74,233,30-Sep-91,2,Oregon State,Chiefs,Missouri
54,"Alexander, Dominique",ILB,lineb,ACT,72,235,20-Apr-95,0,Oklahoma,Browns,Ohio
58,"Alexander, Kwon",MLB,lineb,ACT,73,227,3-Aug-94,2,LSU,Buccaneers,Florida
57,"Alexander, Lorenzo",OLB,lineb,ACT,73,245,31-May-83,10,California,Bills,New York
20,"Alexander, Mackensie",CB,dback,RES,70,192,12-Nov-93,0,Clemson,Vikings,Minnesota
31,"Alexander, Maurice",FS,dback,ACT,73,220,16-Feb-91,3,Utah State,Rams,California
23,"Alford, Robert",CB,dback,ACT,70,186,1-Nov-88,4,Southeastern Louisiana,Falcons,Georgia
39,"Allen, Antonio",DB,dback,RES,73,210,23-Sep-88,5,South Carolina,Jets,New York
28,"Allen, Cortez",DB,dback,RES,73,197,29-Oct-88,5,The Citadel,Steelers,Pennsylvania
66,"Allen, Jack",C,off,ACT,74,296,24-Sep-92,0,Michigan State,Saints,Lousiana
37,"Allen, Javorius",RB,run,ACT,72,222,27-Aug-91,2,USC,Ravens,Maryland
20,"Allen, Nate",SS,dback,ACT,72,210,30-Nov-87,7,South Florida,Raiders,Nevada
37,"Allen, Ricardo",FS,dback,ACT,69,186,18-Dec-91,2,Purdue,Falcons,Georgia
47,"Alonso, Kiko",MLB,lineb,ACT,75,239,14-Aug-90,4,Oregon,Dolphins,Florida
93,"Alualu, Tyson",DE,def,ACT,75,304,12-May-87,7,California,Jaguars,Florida
